,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1350,"[0, -3, -1, 0, 5]","[4, -3, -6, 5, -1]","[4, 1, 3, 4, 9]","[8, 1, -2, 9, 3]","[0, -3, 0, 5]","[4, -3, 5, -1]","[0, 4, -3, -1, 0, 5]","[4, 4, -3, -6, 5, -1]","[0, -3, -1, 0, 5, 'ZeroDivisionError', -0.3333333333333333, -1.0, 'ZeroDivisionError', 0.2]","[4, -3, -6, 5, -1, 0.25, -0.3333333333333333, -0.16666666666666666, 0.2, -1.0]","[0, -12, -4, 0, 20]","[16, -12, -24, 20, -4]","[-1, 5, -3, 0, 0]","[4, -6, 5, -3, -1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1351,"[-12, 3, -10, -12, -7, 4, -2, 2, 2]","[-7, 3, -8, -2, -10, -13, -6, -12, -8]","[-8, 7, -6, -8, -3, 8, 2, 6, 6]","[-3, 7, -4, 2, -6, -9, -2, -8, -4]","[3, -10, -12, -7, 4, -2, 2, 2]","[3, -8, -2, -10, -13, -6, -12, -8]","[-12, 3, -10, -12, -7, 4, -2, 2, 4, 2]","[-7, 3, -8, -2, -10, -13, -6, -12, 4, -8]","[-12, 3, -10, -12, -7, 4, -2, 2, 2, -0.08333333333333333, 0.3333333333333333, -0.1, -0.08333333333333333, -0.14285714285714285, 0.25, -0.5, 0.5, 0.5]","[-7, 3, -8, -2, -10, -13, -6, -12, -8, -0.14285714285714285, 0.3333333333333333, -0.125, -0.5, -0.1, -0.07692307692307693, -0.16666666666666666, -0.08333333333333333, -0.125]","[-48, 12, -40, -48, -28, 16, -8, 8, 8]","[-28, 12, -32, -8, -40, -52, -24, -48, -32]","[3, 2, -10, -2, 2, 4, -7, -12, -12]","[-2, -7, -13, -8, -10, -12, -8, 3, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1352,"[2, 0, -11, 3, -4, 3, -1, 8, 17, 15, -5, -11, 7, -13]","[4, -9, 5, -9, 2, -1, 4, -3, 6, -7, 9, 17, -8, 4]","[6, 4, -7, 7, 0, 7, 3, 12, 21, 19, -1, -7, 11, -9]","[8, -5, 9, -5, 6, 3, 8, 1, 10, -3, 13, 21, -4, 8]","[0, -11, 3, -4, 3, -1, 8, 17, 15, -5, -11, 7, -13]","[-9, 5, -9, 2, -1, 4, -3, 6, -7, 9, 17, -8, 4]","[2, 0, -11, 3, -4, 3, -1, 8, 17, 15, -5, -11, 7, -13, 4]","[4, -9, 5, -9, 2, -1, 4, -3, 6, -7, 9, 17, -8, 4, 4]","[2, 0, -11, 3, -4, 3, -1, 8, 17, 15, -5, -11, 7, -13, 0.5, 'ZeroDivisionError', -0.09090909090909091, 0.3333333333333333, -0.25, 0.3333333333333333, -1.0, 0.125, 0.058823529411764705, 0.06666666666666667, -0.2, -0.09090909090909091, 0.14285714285714285, -0.07692307692307693]","[4, -9, 5, -9, 2, -1, 4, -3, 6, -7, 9, 17, -8, 4, 0.25, -0.1111111111111111, 0.2, -0.1111111111111111, 0.5, -1.0, 0.25, -0.3333333333333333, 0.16666666666666666, -0.14285714285714285, 0.1111111111111111, 0.058823529411764705, -0.125, 0.25]","[8, 0, -44, 12, -16, 12, -4, 32, 68, 60, -20, -44, 28, -52]","[16, -36, 20, -36, 8, -4, 16, -12, 24, -28, 36, 68, -32, 16]","[0, 3, -4, 2, -11, -1, 15, 3, 8, 7, 17, -13, -5, -11]","[4, -3, -9, 5, 2, 17, 9, -7, 4, -8, -1, -9, 4, 6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1353,"[2, -7, -2, -2, 5, -4, -7, -1, -2, -4, -8]","[-10, -3, 1, -10, -3, -6, -10, 3, -4, 2, -3]","[6, -3, 2, 2, 9, 0, -3, 3, 2, 0, -4]","[-6, 1, 5, -6, 1, -2, -6, 7, 0, 6, 1]","[2, -7, -2, -2, -4, -7, -1, -2, -4, -8]","[-10, -3, 1, -10, -6, -10, 3, -4, 2, -3]","[2, -7, -2, -2, 5, -4, -7, -1, 4, -2, -4, -8]","[-10, -3, 1, -10, -3, -6, -10, 3, 4, -4, 2, -3]","[2, -7, -2, -2, 5, -4, -7, -1, -2, -4, -8, 0.5, -0.14285714285714285, -0.5, -0.5, 0.2, -0.25, -0.14285714285714285, -1.0, -0.5, -0.25, -0.125]","[-10, -3, 1, -10, -3, -6, -10, 3, -4, 2, -3, -0.1, -0.3333333333333333, 1.0, -0.1, -0.3333333333333333, -0.16666666666666666, -0.1, 0.3333333333333333, -0.25, 0.5, -0.3333333333333333]","[8, -28, -8, -8, 20, -16, -28, -4, -8, -16, -32]","[-40, -12, 4, -40, -12, -24, -40, 12, -16, 8, -12]","[-1, 2, -4, -7, 5, -2, -4, -7, -8, -2, -2]","[2, 3, -10, -10, -4, -3, -3, -10, -3, 1, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1354,"[4, -9]","[8, -8]","[8, -5]","[12, -4]",[4],[8],"[4, -9, 4]","[8, -8, 4]","[4, -9, 0.25, -0.1111111111111111]","[8, -8, 0.125, -0.125]","[16, -36]","[32, -32]","[-9, 4]","[8, -8]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1355,"[-11, -1, 11, -5, 12, -11, -2, -4, 4, -5, -6, -8, 10, -3]","[-3, 1, -7, -12, -7, 4, 9, -7, 11, 3, -10, 12, -9, -2]","[-7, 3, 15, -1, 16, -7, 2, 0, 8, -1, -2, -4, 14, 1]","[1, 5, -3, -8, -3, 8, 13, -3, 15, 7, -6, 16, -5, 2]","[-11, -1, 11, -5, 12, -11, -2, -4, 4, -5, -8, 10, -3]","[-3, 1, -7, -12, -7, 4, 9, -7, 11, 3, 12, -9, -2]","[-11, -1, 11, -5, 12, 4, -11, -2, -4, 4, -5, -6, -8, 10, -3]","[-3, 1, -7, -12, -7, 4, 4, 9, -7, 11, 3, -10, 12, -9, -2]","[-11, -1, 11, -5, 12, -11, -2, -4, 4, -5, -6, -8, 10, -3, -0.09090909090909091, -1.0, 0.09090909090909091, -0.2, 0.08333333333333333, -0.09090909090909091, -0.5, -0.25, 0.25, -0.2, -0.16666666666666666, -0.125, 0.1, -0.3333333333333333]","[-3, 1, -7, -12, -7, 4, 9, -7, 11, 3, -10, 12, -9, -2, -0.3333333333333333, 1.0, -0.14285714285714285, -0.08333333333333333, -0.14285714285714285, 0.25, 0.1111111111111111, -0.14285714285714285, 0.09090909090909091, 0.3333333333333333, -0.1, 0.08333333333333333, -0.1111111111111111, -0.5]","[-44, -4, 44, -20, 48, -44, -8, -16, 16, -20, -24, -32, 40, -12]","[-12, 4, -28, -48, -28, 16, 36, -28, 44, 12, -40, 48, -36, -8]","[11, -1, -4, -2, -3, -11, 10, -5, -8, 4, -6, 12, -5, -11]","[-10, -7, 4, 3, -2, -3, -12, 1, -7, -7, -9, 9, 11, 12]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1356,"[-1, 10, -9, -1, 4]","[-8, -5, 3, 4, 4]","[3, 14, -5, 3, 8]","[-4, -1, 7, 8, 8]","[10, -9, -1, 4]","[-5, 3, 4, 4]","[-1, 10, -9, -1, 4, 4]","[-8, -5, 3, 4, 4, 4]","[-1, 10, -9, -1, 4, -1.0, 0.1, -0.1111111111111111, -1.0, 0.25]","[-8, -5, 3, 4, 4, -0.125, -0.2, 0.3333333333333333, 0.25, 0.25]","[-4, 40, -36, -4, 16]","[-32, -20, 12, 16, 16]","[-1, 4, -9, 10, -1]","[4, 3, -5, -8, 4]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1357,"[15, 5, 6, 3, -6, -7, 1, 5, 10, -15, -10, -8, -4, 13]","[3, -14, -2, 15, 1, -5, 3, 10, 15, -14, -15, 13, 6, -9]","[19, 9, 10, 7, -2, -3, 5, 9, 14, -11, -6, -4, 0, 17]","[7, -10, 2, 19, 5, -1, 7, 14, 19, -10, -11, 17, 10, -5]","[15, 5, 3, -6, -7, 1, 5, 10, -15, -10, -8, -4, 13]","[3, -14, 15, 1, -5, 3, 10, 15, -14, -15, 13, 6, -9]","[15, 5, 6, 3, -6, -7, 1, 5, 10, -15, -10, -8, -4, 13, 4]","[3, -14, -2, 15, 1, -5, 3, 10, 15, -14, -15, 13, 6, -9, 4]","[15, 5, 6, 3, -6, -7, 1, 5, 10, -15, -10, -8, -4, 13, 0.06666666666666667, 0.2, 0.16666666666666666, 0.3333333333333333, -0.16666666666666666, -0.14285714285714285, 1.0, 0.2, 0.1, -0.06666666666666667, -0.1, -0.125, -0.25, 0.07692307692307693]","[3, -14, -2, 15, 1, -5, 3, 10, 15, -14, -15, 13, 6, -9, 0.3333333333333333, -0.07142857142857142, -0.5, 0.06666666666666667, 1.0, -0.2, 0.3333333333333333, 0.1, 0.06666666666666667, -0.07142857142857142, -0.06666666666666667, 0.07692307692307693, 0.16666666666666666, -0.1111111111111111]","[60, 20, 24, 12, -24, -28, 4, 20, 40, -60, -40, -32, -16, 52]","[12, -56, -8, 60, 4, -20, 12, 40, 60, -56, -60, 52, 24, -36]","[15, 1, 5, -7, -10, -6, 10, 3, -15, -8, 13, 6, -4, 5]","[-14, 15, 3, -5, 13, 1, -14, 10, 15, -15, 3, -9, -2, 6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1358,"[4, 13, 10, 3, -9, -1, -6, -8, -2, 5, 11, -9, 13]","[-9, -4, 9, 3, -1, 11, 12, 5, 3, 2, 12, 4, 13]","[8, 17, 14, 7, -5, 3, -2, -4, 2, 9, 15, -5, 17]","[-5, 0, 13, 7, 3, 15, 16, 9, 7, 6, 16, 8, 17]","[13, 10, 3, -9, -1, -6, -8, -2, 5, 11, -9, 13]","[-4, 9, 3, -1, 11, 12, 5, 3, 2, 12, 4, 13]","[4, 13, 10, 3, -9, -1, -6, -8, -2, 4, 5, 11, -9, 13]","[-9, -4, 9, 3, -1, 11, 12, 5, 3, 4, 2, 12, 4, 13]","[4, 13, 10, 3, -9, -1, -6, -8, -2, 5, 11, -9, 13, 0.25, 0.07692307692307693, 0.1, 0.3333333333333333, -0.1111111111111111, -1.0, -0.16666666666666666, -0.125, -0.5, 0.2, 0.09090909090909091, -0.1111111111111111, 0.07692307692307693]","[-9, -4, 9, 3, -1, 11, 12, 5, 3, 2, 12, 4, 13, -0.1111111111111111, -0.25, 0.1111111111111111, 0.3333333333333333, -1.0, 0.09090909090909091, 0.08333333333333333, 0.2, 0.3333333333333333, 0.5, 0.08333333333333333, 0.25, 0.07692307692307693]","[16, 52, 40, 12, -36, -4, -24, -32, -8, 20, 44, -36, 52]","[-36, -16, 36, 12, -4, 44, 48, 20, 12, 8, 48, 16, 52]","[4, -2, -9, 3, -1, -6, 10, 13, -8, -9, 13, 5, 11]","[4, -4, 12, 5, 12, 11, 3, -9, 13, 3, 9, 2, -1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1359,"[-3, 4, -4, 0, -3]","[0, 7, -9, 4, -4]","[1, 8, 0, 4, 1]","[4, 11, -5, 8, 0]","[-3, 4, -4, 0]","[0, 7, -9, 4]","[-3, 4, 4, -4, 0, -3]","[0, 4, 7, -9, 4, -4]","[-3, 4, -4, 0, -3, -0.3333333333333333, 0.25, -0.25, 'ZeroDivisionError', -0.3333333333333333]","[0, 7, -9, 4, -4, 'ZeroDivisionError', 0.14285714285714285, -0.1111111111111111, 0.25, -0.25]","[-12, 16, -16, 0, -12]","[0, 28, -36, 16, -16]","[0, -4, -3, -3, 4]","[4, 7, -4, 0, -9]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1360,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],error,[],error,error,error,error,error,error,error,error,error,error
1361,"[-7, -10, -9, -9, -2, 3]","[-9, -7, -10, -8, 2, 5]","[-3, -6, -5, -5, 2, 7]","[-5, -3, -6, -4, 6, 9]","[-7, -10, -9, -2, 3]","[-9, -7, -10, 2, 5]","[-7, -10, -9, -9, 4, -2, 3]","[-9, -7, -10, -8, 4, 2, 5]","[-7, -10, -9, -9, -2, 3, -0.14285714285714285, -0.1, -0.1111111111111111, -0.1111111111111111, -0.5, 0.3333333333333333]","[-9, -7, -10, -8, 2, 5, -0.1111111111111111, -0.14285714285714285, -0.1, -0.125, 0.5, 0.2]","[-28, -40, -36, -36, -8, 12]","[-36, -28, -40, -32, 8, 20]","[-9, -10, -2, -9, -7, 3]","[2, -7, -9, -8, -10, 5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1362,"[13, 10, 4, -3, 5, 6, -7, -9, 18, 12]","[0, 6, 5, -3, -4, 12, 13, -7, 4, 0]","[17, 14, 8, 1, 9, 10, -3, -5, 22, 16]","[4, 10, 9, 1, 0, 16, 17, -3, 8, 4]","[13, 10, -3, 5, 6, -7, -9, 18, 12]","[0, 6, -3, -4, 12, 13, -7, 4, 0]","[13, 10, 4, -3, 5, 6, 4, -7, -9, 18, 12]","[0, 6, 5, -3, -4, 12, 4, 13, -7, 4, 0]","[13, 10, 4, -3, 5, 6, -7, -9, 18, 12, 0.07692307692307693, 0.1, 0.25, -0.3333333333333333, 0.2, 0.16666666666666666, -0.14285714285714285, -0.1111111111111111, 0.05555555555555555, 0.08333333333333333]","[0, 6, 5, -3, -4, 12, 13, -7, 4, 0, 'ZeroDivisionError', 0.16666666666666666, 0.2, -0.3333333333333333, -0.25, 0.08333333333333333, 0.07692307692307693, -0.14285714285714285, 0.25, 'ZeroDivisionError']","[52, 40, 16, -12, 20, 24, -28, -36, 72, 48]","[0, 24, 20, -12, -16, 48, 52, -28, 16, 0]","[13, 10, 5, 6, -3, 18, -9, 12, -7, 4]","[4, -7, -4, 6, 0, 13, 12, 5, -3, 0]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1363,"[2, 4, 6, 7, -6, -8, -6, 10]","[1, 7, -5, -9, 1, 8, 1, 10]","[6, 8, 10, 11, -2, -4, -2, 14]","[5, 11, -1, -5, 5, 12, 5, 14]","[2, 4, 6, 7, -6, -8, 10]","[1, 7, -5, -9, 1, 8, 10]","[2, 4, 6, 7, 4, -6, -8, -6, 10]","[1, 7, -5, -9, 4, 1, 8, 1, 10]","[2, 4, 6, 7, -6, -8, -6, 10, 0.5, 0.25, 0.16666666666666666, 0.14285714285714285, -0.16666666666666666, -0.125, -0.16666666666666666, 0.1]","[1, 7, -5, -9, 1, 8, 1, 10, 1.0, 0.14285714285714285, -0.2, -0.1111111111111111, 1.0, 0.125, 1.0, 0.1]","[8, 16, 24, 28, -24, -32, -24, 40]","[4, 28, -20, -36, 4, 32, 4, 40]","[2, 7, 10, 6, -6, -6, -8, 4]","[1, 10, -9, -5, 8, 7, 1, 1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1364,"[-8, -10, 12]","[-1, 8, 14]","[-4, -6, 16]","[3, 12, 18]","[-8, 12]","[-1, 14]","[-8, 4, -10, 12]","[-1, 4, 8, 14]","[-8, -10, 12, -0.125, -0.1, 0.08333333333333333]","[-1, 8, 14, -1.0, 0.125, 0.07142857142857142]","[-32, -40, 48]","[-4, 32, 56]","[-8, -10, 12]","[8, -1, 14]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1365,"[-6, -8, 7, -3, 2, -4, -9, -3, 2, 7, 7, 3]","[-5, 7, 5, 1, -9, -7, 4, 6, -1, -6, 4, -8]","[-2, -4, 11, 1, 6, 0, -5, 1, 6, 11, 11, 7]","[-1, 11, 9, 5, -5, -3, 8, 10, 3, -2, 8, -4]","[-6, -8, 7, 2, -4, -9, -3, 2, 7, 7, 3]","[-5, 7, 5, -9, -7, 4, 6, -1, -6, 4, -8]","[-6, -8, 7, -3, 2, -4, -9, 4, -3, 2, 7, 7, 3]","[-5, 7, 5, 1, -9, -7, 4, 4, 6, -1, -6, 4, -8]","[-6, -8, 7, -3, 2, -4, -9, -3, 2, 7, 7, 3, -0.16666666666666666, -0.125, 0.14285714285714285, -0.3333333333333333, 0.5, -0.25, -0.1111111111111111, -0.3333333333333333, 0.5, 0.14285714285714285, 0.14285714285714285, 0.3333333333333333]","[-5, 7, 5, 1, -9, -7, 4, 6, -1, -6, 4, -8, -0.2, 0.14285714285714285, 0.2, 1.0, -0.1111111111111111, -0.14285714285714285, 0.25, 0.16666666666666666, -1.0, -0.16666666666666666, 0.25, -0.125]","[-24, -32, 28, -12, 8, -16, -36, -12, 8, 28, 28, 12]","[-20, 28, 20, 4, -36, -28, 16, 24, -4, -24, 16, -32]","[-8, -3, 7, 7, 3, 2, 7, -6, -9, 2, -3, -4]","[6, 4, -6, -1, 7, -9, 4, -8, -5, -7, 5, 1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1366,"[-16, 5, -4, 2, -12, -5, -8]","[-7, 2, -8, -9, -13, -12, -2]","[-12, 9, 0, 6, -8, -1, -4]","[-3, 6, -4, -5, -9, -8, 2]","[-16, -4, 2, -12, -5, -8]","[-7, -8, -9, -13, -12, -2]","[-16, 5, 4, -4, 2, -12, -5, -8]","[-7, 2, 4, -8, -9, -13, -12, -2]","[-16, 5, -4, 2, -12, -5, -8, -0.0625, 0.2, -0.25, 0.5, -0.08333333333333333, -0.2, -0.125]","[-7, 2, -8, -9, -13, -12, -2, -0.14285714285714285, 0.5, -0.125, -0.1111111111111111, -0.07692307692307693, -0.08333333333333333, -0.5]","[-64, 20, -16, 8, -48, -20, -32]","[-28, 8, -32, -36, -52, -48, -8]","[-4, -12, -8, -5, -16, 2, 5]","[-8, 2, -2, -9, -13, -7, -12]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1367,"[-1, 4]","[-7, -8]","[3, 8]","[-3, -4]",[-1],[-7],"[-1, 4, 4]","[-7, -8, 4]","[-1, 4, -1.0, 0.25]","[-7, -8, -0.14285714285714285, -0.125]","[-4, 16]","[-28, -32]","[4, -1]","[-8, -7]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1368,"[-5, 3, 1, -2, 0, -6, -9, 6, 0]","[-14, 1, -10, -11, -2, -8, -14, -1, -10]","[-1, 7, 5, 2, 4, -2, -5, 10, 4]","[-10, 5, -6, -7, 2, -4, -10, 3, -6]","[-5, 3, 1, -2, 0, -6, -9, 6]","[-14, 1, -10, -11, -2, -8, -14, -1]","[-5, 3, 4, 1, -2, 0, -6, -9, 6, 0]","[-14, 1, 4, -10, -11, -2, -8, -14, -1, -10]","[-5, 3, 1, -2, 0, -6, -9, 6, 0, -0.2, 0.3333333333333333, 1.0, -0.5, 'ZeroDivisionError', -0.16666666666666666, -0.1111111111111111, 0.16666666666666666, 'ZeroDivisionError']","[-14, 1, -10, -11, -2, -8, -14, -1, -10, -0.07142857142857142, 1.0, -0.1, -0.09090909090909091, -0.5, -0.125, -0.07142857142857142, -1.0, -0.1]","[-20, 12, 4, -8, 0, -24, -36, 24, 0]","[-56, 4, -40, -44, -8, -32, -56, -4, -40]","[0, 3, -2, 1, -6, 6, 0, -9, -5]","[-1, -14, -10, -8, 1, -11, -2, -10, -14]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1369,"[1, -2, -6, 3, -4, -1, -1]","[-1, 2, -4, -3, 2, 0, -4]","[5, 2, -2, 7, 0, 3, 3]","[3, 6, 0, 1, 6, 4, 0]","[-2, -6, 3, -4, -1, -1]","[2, -4, -3, 2, 0, -4]","[1, -2, -6, 4, 3, -4, -1, -1]","[-1, 2, -4, 4, -3, 2, 0, -4]","[1, -2, -6, 3, -4, -1, -1, 1.0, -0.5, -0.16666666666666666, 0.3333333333333333, -0.25, -1.0, -1.0]","[-1, 2, -4, -3, 2, 0, -4, -1.0, 0.5, -0.25, -0.3333333333333333, 0.5, 'ZeroDivisionError', -0.25]","[4, -8, -24, 12, -16, -4, -4]","[-4, 8, -16, -12, 8, 0, -16]","[-2, -1, 1, -4, 3, -6, -1]","[2, 0, -1, -4, -3, 2, -4]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1370,"[5, -5, 9, -3, -3, 4, 12, 14, -4, -10, 5]","[-1, -6, 10, -3, -2, -5, -8, -11, 13, -4, 10]","[9, -1, 13, 1, 1, 8, 16, 18, 0, -6, 9]","[3, -2, 14, 1, 2, -1, -4, -7, 17, 0, 14]","[5, -5, 9, -3, 4, 12, 14, -4, -10, 5]","[-1, -6, 10, -2, -5, -8, -11, 13, -4, 10]","[5, -5, 9, -3, -3, 4, 12, 14, -4, -10, 5, 4]","[-1, -6, 10, -3, -2, -5, -8, -11, 13, -4, 10, 4]","[5, -5, 9, -3, -3, 4, 12, 14, -4, -10, 5, 0.2, -0.2, 0.1111111111111111, -0.3333333333333333, -0.3333333333333333, 0.25, 0.08333333333333333, 0.07142857142857142, -0.25, -0.1, 0.2]","[-1, -6, 10, -3, -2, -5, -8, -11, 13, -4, 10, -1.0, -0.16666666666666666, 0.1, -0.3333333333333333, -0.5, -0.2, -0.125, -0.09090909090909091, 0.07692307692307693, -0.25, 0.1]","[20, -20, 36, -12, -12, 16, 48, 56, -16, -40, 20]","[-4, -24, 40, -12, -8, -20, -32, -44, 52, -16, 40]","[-3, 12, 5, -10, 5, -4, -5, -3, 9, 4, 14]","[-11, 13, -1, -3, -8, 10, -6, 10, -4, -2, -5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1371,"[-8, -2, -8, 3, 2, 3, -2, -3, 6]","[5, 0, 4, -1, -1, 4, 3, 0, -8]","[-4, 2, -4, 7, 6, 7, 2, 1, 10]","[9, 4, 8, 3, 3, 8, 7, 4, -4]","[-8, -2, 3, 2, 3, -2, -3, 6]","[5, 0, -1, -1, 4, 3, 0, -8]","[-8, 4, -2, -8, 3, 2, 3, -2, -3, 6]","[5, 4, 0, 4, -1, -1, 4, 3, 0, -8]","[-8, -2, -8, 3, 2, 3, -2, -3, 6, -0.125, -0.5, -0.125, 0.3333333333333333, 0.5, 0.3333333333333333, -0.5, -0.3333333333333333, 0.16666666666666666]","[5, 0, 4, -1, -1, 4, 3, 0, -8, 0.2, 'ZeroDivisionError', 0.25, -1.0, -1.0, 0.25, 0.3333333333333333, 'ZeroDivisionError', -0.125]","[-32, -8, -32, 12, 8, 12, -8, -12, 24]","[20, 0, 16, -4, -4, 16, 12, 0, -32]","[-2, -8, 6, -8, -3, -2, 3, 3, 2]","[0, -8, 4, 5, 0, 4, -1, 3, -1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1372,"[-1, 4, 3, 3, -1]","[1, 5, 3, 5, -3]","[3, 8, 7, 7, 3]","[5, 9, 7, 9, 1]","[-1, 4, 3, 3]","[1, 5, 3, 5]","[-1, 4, 3, 3, 4, -1]","[1, 5, 3, 5, 4, -3]","[-1, 4, 3, 3, -1, -1.0, 0.25, 0.3333333333333333, 0.3333333333333333, -1.0]","[1, 5, 3, 5, -3, 1.0, 0.2, 0.3333333333333333, 0.2, -0.3333333333333333]","[-4, 16, 12, 12, -4]","[4, 20, 12, 20, -12]","[3, 3, 4, -1, -1]","[5, -3, 1, 5, 3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1373,"[2, 2, 8, 0, -10, 10, -7]","[10, 7, 0, 8, -1, 11, -10]","[6, 6, 12, 4, -6, 14, -3]","[14, 11, 4, 12, 3, 15, -6]","[2, 2, 8, 0, -10, -7]","[10, 7, 0, 8, -1, -10]","[2, 2, 4, 8, 0, -10, 10, -7]","[10, 7, 4, 0, 8, -1, 11, -10]","[2, 2, 8, 0, -10, 10, -7, 0.5, 0.5, 0.125, 'ZeroDivisionError', -0.1, 0.1, -0.14285714285714285]","[10, 7, 0, 8, -1, 11, -10, 0.1, 0.14285714285714285, 'ZeroDivisionError', 0.125, -1.0, 0.09090909090909091, -0.1]","[8, 8, 32, 0, -40, 40, -28]","[40, 28, 0, 32, -4, 44, -40]","[10, 8, 2, -10, -7, 0, 2]","[-1, 7, 0, 8, 11, -10, 10]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1374,[-11],[-14],[-7],[-10],[],[],"[-11, 4]","[-14, 4]","[-11, -0.09090909090909091]","[-14, -0.07142857142857142]",[-44],[-56],[-11],[-14],error,error,error,error,error,error,[],error,error,error,error,error,error,error,error,error,error
1375,"[-3, -6]","[11, -3]","[1, -2]","[15, 1]",[-3],[11],"[4, -3, -6]","[4, 11, -3]","[-3, -6, -0.3333333333333333, -0.16666666666666666]","[11, -3, 0.09090909090909091, -0.3333333333333333]","[-12, -24]","[44, -12]","[-6, -3]","[11, -3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1376,"[5, 0, 0, 6, 4, 6, 5, 3, 6, 1]","[3, -4, -5, -6, -4, 0, -6, -6, 0, 6]","[9, 4, 4, 10, 8, 10, 9, 7, 10, 5]","[7, 0, -1, -2, 0, 4, -2, -2, 4, 10]","[5, 0, 0, 6, 4, 6, 3, 6, 1]","[3, -4, -5, -6, -4, 0, -6, 0, 6]","[4, 5, 0, 0, 6, 4, 6, 5, 3, 6, 1]","[4, 3, -4, -5, -6, -4, 0, -6, -6, 0, 6]","[5, 0, 0, 6, 4, 6, 5, 3, 6, 1, 0.2, 'ZeroDivisionError', 'ZeroDivisionError', 0.16666666666666666, 0.25, 0.16666666666666666, 0.2, 0.3333333333333333, 0.16666666666666666, 1.0]","[3, -4, -5, -6, -4, 0, -6, -6, 0, 6, 0.3333333333333333, -0.25, -0.2, -0.16666666666666666, -0.25, 'ZeroDivisionError', -0.16666666666666666, -0.16666666666666666, 'ZeroDivisionError', 0.16666666666666666]","[20, 0, 0, 24, 16, 24, 20, 12, 24, 4]","[12, -16, -20, -24, -16, 0, -24, -24, 0, 24]","[6, 6, 3, 6, 0, 5, 1, 4, 0, 5]","[-6, 3, -6, 0, 0, 6, -5, -4, -4, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1377,"[-7, -6]","[4, -2]","[-3, -2]","[8, 2]",[-7],[4],"[-7, 4, -6]","[4, 4, -2]","[-7, -6, -0.14285714285714285, -0.16666666666666666]","[4, -2, 0.25, -0.5]","[-28, -24]","[16, -8]","[-6, -7]","[4, -2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
